1,1554763460649,-1.599,9.784,-0.989,4-8-19
2,1554763460851,-2.329,9.701,-0.375,4-8-19
3,1554763461054,-2.166,9.578,-0.416,4-8-19
4,1554763461256,-1.677,9.976,-0.899,4-8-19
5,1554763461463,-1.535,9.755,-1.154,4-8-19
6,1554763461666,-2.295,9.542,-1.294,4-8-19
7,1554763461878,-4.186,8.872,-0.177,4-8-19
8,1554763462082,-4.433,8.989,0.306,4-8-19
9,1554763462275,-4.284,8.894,-0.212,4-8-19
10,1554763462479,-3.591,9.25,-0.191,4-8-19
11,1554763462687,-4.178,9.027,-0.406,4-8-19
12,1554763462886,-3.894,9.046,-0.276,4-8-19
13,1554763463098,-3.512,9.327,-0.05,4-8-19
14,1554763463294,-3.629,9.277,-0.115,4-8-19
15,1554763463497,-3.514,9.237,-0.3,4-8-19
16,1554763463704,-3.297,9.382,-0.44,4-8-19
17,1554763463905,-3.474,9.289,-0.327,4-8-19
18,1554763464115,-3.364,9.324,-0.439,4-8-19
19,1554763464316,-3.323,9.348,-0.505,4-8-19
20,1554763464518,-2.998,9.676,-0.65,4-8-19
21,1554763464723,-6.257,7.354,1.024,4-8-19
22,1554763464923,-7.147,6.749,1.684,4-8-19
23,1554763465128,-6.199,7.463,0.811,4-8-19
24,1554763465329,-5.22,8.422,0.086,4-8-19
25,1554763465533,-4.655,8.719,-0.176,4-8-19
26,1554763465739,-3.97,9.026,-1.19,4-8-19
27,1554763465941,-3.985,9.03,-1.239,4-8-19
28,1554763466147,-3.603,9.189,-0.949,4-8-19
29,1554763466347,-4.139,8.918,-1.01,4-8-19
30,1554763466550,-4.155,8.972,-0.976,4-8-19
31,1554763466754,-4.062,9.035,-0.674,4-8-19
32,1554763466957,-3.799,9.169,-0.839,4-8-19
33,1554763467161,-4.207,8.9,-0.767,4-8-19
34,1554763467364,-4.17,8.965,-0.713,4-8-19
35,1554763467568,-4.292,8.933,-0.595,4-8-19
36,1554763467772,-4.426,8.836,-0.669,4-8-19
37,1554763467975,-4.394,8.847,-0.685,4-8-19
38,1554763468179,-4.445,8.875,-0.653,4-8-19
39,1554763468385,-3.938,9.024,-0.931,4-8-19
40,1554763468592,-3.848,9.077,-1.05,4-8-19
41,1554763468797,-3.914,9.072,-1.024,4-8-19
42,1554763469003,-3.901,9.011,-1.335,4-8-19
43,1554763469201,-3.775,9.083,-1.242,4-8-19
44,1554763469404,-3.818,9.068,-1.333,4-8-19
45,1554763469611,-3.97,9.001,-1.223,4-8-19
46,1554763469811,-3.983,8.993,-1.211,4-8-19
47,1554763470014,-3.901,9.045,-1.234,4-8-19
48,1554763470220,-3.956,9.003,-1.213,4-8-19
49,1554763470423,-3.846,9.07,-1.17,4-8-19
50,1554763470627,-3.972,9.001,-1.177,4-8-19
51,1554763470830,-4.018,8.979,-1.201,4-8-19
52,1554763471032,-3.97,9.028,-1.08,4-8-19
