Time,xAcceleration,yAcceleration,zAcceleration,xSMA(2.5 seconds),xSMA(10 seconds),ySMA(2.5 seconds),ySMA(10 seconds),zSMA(2.5 seconds),zSMA(10 seconds),minX(10 seconds),maxX(10 seconds),minY(10 seconds),maxY(10 seconds),minZ(10 seconds),maxZ(10 seconds)
1554763460649,-1.599,9.784,-0.989,-1.599,-1.599,9.784,9.784,-0.989,-0.989,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763460851,-2.329,9.701,-0.375,-1.964,-1.964,9.7425,9.7425,-0.682,-0.682,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763461054,-2.166,9.578,-0.416,-2.03133,-2.03133,9.68767,9.68767,-0.593333,-0.593333,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763461256,-1.677,9.976,-0.899,-1.94275,-1.94275,9.75975,9.75975,-0.66975,-0.66975,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763461463,-1.535,9.755,-1.154,-1.8612,-1.8612,9.7588,9.7588,-0.7666,-0.7666,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763461666,-2.295,9.542,-1.294,-1.9335,-1.9335,9.72267,9.72267,-0.8545,-0.8545,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763461878,-4.186,8.872,-0.177,-2.25529,-2.25529,9.60114,9.60114,-0.757714,-0.757714,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763462082,-4.433,8.989,0.306,-2.5275,-2.5275,9.52463,9.52463,-0.62475,-0.62475,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763462275,-4.284,8.894,-0.212,-2.72267,-2.72267,9.45456,9.45456,-0.578889,-0.578889,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763462479,-3.591,9.25,-0.191,-2.8095,-2.8095,9.4341,9.4341,-0.5401,-0.5401,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763462687,-4.178,9.027,-0.406,-2.93391,-2.93391,9.39709,9.39709,-0.527909,-0.527909,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763462886,-3.894,9.046,-0.276,-3.01392,-3.01392,9.36783,9.36783,-0.506917,-0.506917,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763463098,-3.512,9.327,-0.05,-3.05223,-3.05223,9.36469,9.36469,-0.471769,-0.471769,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763463294,-3.629,9.277,-0.115,-3.09343,-3.09343,9.35843,9.35843,-0.446286,-0.446286,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763463497,-3.514,9.237,-0.3,-3.12147,-3.12147,9.35033,9.35033,-0.436533,-0.436533,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763463704,-3.297,9.382,-0.44,-3.13244,-3.13244,9.35231,9.35231,-0.43675,-0.43675,-7.147,-1.535,6.749,9.976,-1.335,1.684
1554763463905,-3.474,9.289,-0.327,-3.15253,-3.15253,9.34859,9.34859,-0.430294,-0.430294,-7.147,-1.535,6.749,9.976,-1.335,1.766
1554763464115,-3.364,9.324,-0.439,-3.16428,-3.16428,9.34722,9.34722,-0.430778,-0.430778,-7.147,-1.535,6.749,9.976,-1.335,2.253
1554763464316,-3.323,9.348,-0.505,-3.17263,-3.17263,9.34726,9.34726,-0.434684,-0.434684,-7.147,-1.535,6.749,9.976,-1.335,2.253
1554763464518,-2.998,9.676,-0.65,-3.1639,-3.1639,9.3637,9.3637,-0.44545,-0.44545,-7.147,-1.535,6.749,9.976,-1.335,2.253
1554763464723,-6.257,7.354,1.024,-3.3968,-3.31119,9.2422,9.268,-0.3448,-0.375476,-7.147,-1.535,6.749,9.976,-1.335,2.253
1554763464923,-7.147,6.749,1.684,-3.6377,-3.48555,9.0946,9.1535,-0.24185,-0.281864,-7.147,-1.535,6.749,9.976,-1.335,2.253
