1,1554664286970,-0.253,3.592,9.189,4-7-19
2,1554664287171,-0.648,3.251,9.265,4-7-19
3,1554664287376,-0.91,2.712,9.543,4-7-19
4,1554664287581,-1.162,2.555,9.629,4-7-19
5,1554664287779,-0.933,3.242,9.172,4-7-19
6,1554664287989,-0.508,3.828,8.708,4-7-19
7,1554664288187,-1.155,4.463,9.123,4-7-19
8,1554664288391,-0.978,4.003,8.612,4-7-19
9,1554664288589,0.178,3.438,8.912,4-7-19
10,1554664288800,-0.242,1.537,10.345,4-7-19
11,1554664289000,-0.789,1.618,9.52,4-7-19
12,1554664289199,-0.953,1.415,10.003,4-7-19
13,1554664289408,-1.28,1.545,9.62,4-7-19
14,1554664289602,-0.635,1.987,9.705,4-7-19
15,1554664289806,-0.189,1.735,9.526,4-7-19
16,1554664290012,-0.336,1.685,9.664,4-7-19
17,1554664290213,-0.6,1.596,9.915,4-7-19
18,1554664290415,-0.925,2.103,9.434,4-7-19
19,1554664290615,-0.669,2.457,9.52,4-7-19
20,1554664290819,-0.644,2.397,9.628,4-7-19
21,1554664291023,-0.606,2.618,9.446,4-7-19
22,1554664291225,-0.456,2.441,9.557,4-7-19
23,1554664291428,-0.515,2.453,9.469,4-7-19
24,1554664291630,-0.513,2.688,9.577,4-7-19
25,1554664291831,-0.142,2.758,9.383,4-7-19
26,1554664292034,0.07,3.211,9.388,4-7-19
27,1554664292237,0.334,3.464,9.467,4-7-19
28,1554664292439,0.075,3.184,9.077,4-7-19
29,1554664292643,-0.135,3.314,9.386,4-7-19
30,1554664292845,0.354,3.436,9.186,4-7-19
31,1554664293049,0.952,3.391,9.491,4-7-19
32,1554664293251,-0.046,2.435,9.572,4-7-19
33,1554664293455,0.028,2.493,9.417,4-7-19
34,1554664293657,-0.432,2.225,9.544,4-7-19
35,1554664293860,-0.416,2.265,9.657,4-7-19
36,1554664294066,-0.501,2.283,9.497,4-7-19
37,1554664294265,-0.417,2.32,9.489,4-7-19
38,1554664294467,-0.308,2.331,9.602,4-7-19
39,1554664294671,-0.488,2.268,9.666,4-7-19
40,1554664294878,-0.47,2.049,9.654,4-7-19
41,1554664295078,-0.507,1.997,9.674,4-7-19
42,1554664295278,-0.849,1.825,9.654,4-7-19
43,1554664295483,-0.665,1.703,9.595,4-7-19
44,1554664295691,-0.916,1.759,9.778,4-7-19
45,1554664295891,-0.889,1.557,9.658,4-7-19
46,1554664296088,-1.151,1.865,9.461,4-7-19
47,1554664296291,-0.793,1.696,9.794,4-7-19
48,1554664296493,-0.562,1.799,9.704,4-7-19
49,1554664296701,-0.513,2.104,9.544,4-7-19
50,1554664296901,-0.447,2.136,9.62,4-7-19
51,1554664297108,-0.484,2.155,9.673,4-7-19
52,1554664297306,-0.376,2.271,9.569,4-7-19
53,1554664297516,-0.37,2.453,9.479,4-7-19
54,1554664297715,-0.279,2.551,9.686,4-7-19
55,1554664297914,-0.557,2.527,9.35,4-7-19
56,1554664298121,-0.686,2.574,9.55,4-7-19
57,1554664298324,1.43,3.237,9.347,4-7-19
58,1554664298527,2.244,4.189,9.048,4-7-19
59,1554664298725,0.217,4.13,8.742,4-7-19
60,1554664298928,-3.764,3.506,7.998,4-7-19
61,1554664299135,2.47,3.964,9.622,4-7-19
62,1554664299337,0.065,4.433,8.808,4-7-19
63,1554664299538,0.142,5.144,9.606,4-7-19
64,1554664299741,0.882,6.122,8.616,4-7-19
65,1554664299948,0.815,7.251,6.34,4-7-19
66,1554664300152,0.941,7.18,4.329,4-7-19
67,1554664300347,-0.795,8.688,4.356,4-7-19
68,1554664300553,-0.808,8.568,4.8,4-7-19
69,1554664300752,-0.497,8.619,4.991,4-7-19
70,1554664300963,-0.394,8.553,5.209,4-7-19
71,1554664301163,-0.4,8.524,5.127,4-7-19
72,1554664301369,-0.625,8.423,4.94,4-7-19
73,1554664301565,-0.084,6.339,3.008,4-7-19
74,1554664301768,0.828,2.864,13.212,4-7-19
75,1554664301974,0.076,5.467,7.843,4-7-19
