93,1554706067459,1.618,2.91,9.09,4-7-19 evening2
94,1554706067671,1.643,2.948,9.156,4-7-19 evening2
95,1554706067882,1.519,3.091,9.12,4-7-19 evening2
96,1554706068083,1.521,3.117,9.158,4-7-19 evening2
97,1554706068297,1.382,3.175,9.021,4-7-19 evening2
98,1554706068488,1.288,3.338,9.075,4-7-19 evening2
99,1554706068698,1.104,3.503,9.037,4-7-19 evening2
100,1554706068888,1.154,3.358,9.168,4-7-19 evening2
101,1554706069098,1.233,3.554,8.937,4-7-19 evening2
102,1554706069307,1.305,3.569,9.021,4-7-19 evening2
103,1554706069508,1.316,3.465,8.98,4-7-19 evening2
104,1554706069705,1.893,3.254,8.965,4-7-19 evening2
105,1554706069908,1.777,3.602,8.961,4-7-19 evening2
106,1554706070113,1.7,3.58,8.843,4-7-19 evening2
107,1554706070318,1.731,3.586,8.874,4-7-19 evening2
108,1554706070521,1.648,3.551,8.873,4-7-19 evening2
109,1554706070727,1.758,3.396,8.99,4-7-19 evening2
110,1554706070929,1.718,3.324,9.066,4-7-19 evening2
111,1554706071134,1.595,3.279,9.041,4-7-19 evening2
112,1554706071339,1.577,3.336,8.953,4-7-19 evening2
113,1554706071542,1.622,3.326,9.033,4-7-19 evening2
114,1554706071747,1.539,3.355,9.049,4-7-19 evening2
115,1554706071951,1.464,3.323,9.007,4-7-19 evening2
116,1554706072155,1.548,3.39,9.071,4-7-19 evening2
117,1554706072359,1.305,3.741,8.91,4-7-19 evening2
118,1554706072563,1.551,3.723,8.89,4-7-19 evening2
119,1554706072766,2.135,3.409,8.828,4-7-19 evening2
120,1554706072970,1.73,3.614,8.821,4-7-19 evening2
121,1554706073176,1.495,3.595,8.933,4-7-19 evening2
122,1554706073380,1.612,3.87,8.88,4-7-19 evening2
123,1554706073584,1.689,3.688,8.756,4-7-19 evening2
124,1554706073788,1.27,4.058,9.165,4-7-19 evening2
125,1554706073993,-1.734,2.617,9.243,4-7-19 evening2
126,1554706074201,-1.721,1.849,8.962,4-7-19 evening2
127,1554706074406,-2.266,1.981,9.225,4-7-19 evening2
128,1554706074768,-2.127,-0.228,6.852,4-7-19 evening2
129,1554706074826,-0.715,-1.457,10.885,4-7-19 evening2
130,1554706075013,-1.847,-0.023,10.691,4-7-19 evening2
131,1554706075218,-5.568,0.003,7.698,4-7-19 evening2
